id,row_index,c50,c50_rep,c60,c60_rep,c70,c70_rep
advbench-435,435,advbench-435,1,advbench-435,1,advbench-435,1
advbench-436,436,advbench-384,0,advbench-436,1,advbench-436,1
advbench-437,437,advbench-437,1,advbench-437,1,advbench-437,1
advbench-438,438,advbench-438,1,advbench-438,1,advbench-438,1
advbench-439,439,advbench-439,1,advbench-439,1,advbench-439,1
advbench-440,440,advbench-440,1,advbench-440,1,advbench-440,1
advbench-441,441,advbench-441,1,advbench-441,1,advbench-441,1
advbench-442,442,advbench-66,0,advbench-442,1,advbench-442,1
advbench-443,443,advbench-443,1,advbench-443,1,advbench-443,1
advbench-444,444,advbench-444,1,advbench-444,1,advbench-444,1
advbench-445,445,advbench-317,0,advbench-445,1,advbench-445,1
advbench-446,446,advbench-446,1,advbench-446,1,advbench-446,1
advbench-447,447,advbench-447,1,advbench-447,1,advbench-447,1
advbench-448,448,advbench-448,1,advbench-448,1,advbench-448,1
advbench-449,449,advbench-449,1,advbench-449,1,advbench-449,1
advbench-450,450,advbench-450,1,advbench-450,1,advbench-450,1
advbench-451,451,advbench-451,1,advbench-451,1,advbench-451,1
advbench-452,452,advbench-452,1,advbench-452,1,advbench-452,1
advbench-453,453,advbench-453,1,advbench-453,1,advbench-453,1
advbench-454,454,advbench-454,1,advbench-454,1,advbench-454,1
advbench-455,455,advbench-455,1,advbench-455,1,advbench-455,1
advbench-456,456,advbench-456,1,advbench-456,1,advbench-456,1
advbench-457,457,advbench-457,1,advbench-457,1,advbench-457,1
advbench-458,458,advbench-458,1,advbench-458,1,advbench-458,1
advbench-459,459,advbench-459,1,advbench-459,1,advbench-459,1
advbench-460,460,advbench-384,0,advbench-328,0,advbench-460,1
advbench-461,461,advbench-461,1,advbench-461,1,advbench-461,1
advbench-462,462,advbench-462,1,advbench-462,1,advbench-462,1
advbench-463,463,advbench-463,1,advbench-463,1,advbench-463,1
advbench-464,464,advbench-195,0,advbench-195,0,advbench-195,0
advbench-465,465,advbench-465,1,advbench-465,1,advbench-465,1
advbench-466,466,advbench-466,1,advbench-466,1,advbench-466,1
advbench-467,467,advbench-467,1,advbench-467,1,advbench-467,1
advbench-468,468,advbench-468,1,advbench-468,1,advbench-468,1
advbench-469,469,advbench-469,1,advbench-469,1,advbench-469,1
advbench-470,470,advbench-470,1,advbench-470,1,advbench-470,1
advbench-471,471,advbench-471,1,advbench-471,1,advbench-471,1
advbench-472,472,advbench-472,1,advbench-472,1,advbench-472,1
advbench-473,473,advbench-473,1,advbench-473,1,advbench-473,1
advbench-474,474,advbench-474,1,advbench-474,1,advbench-474,1
advbench-475,475,advbench-8,0,advbench-475,1,advbench-475,1
advbench-476,476,advbench-476,1,advbench-476,1,advbench-476,1
advbench-477,477,advbench-477,1,advbench-477,1,advbench-477,1
advbench-478,478,advbench-478,1,advbench-478,1,advbench-478,1
advbench-479,479,advbench-479,1,advbench-479,1,advbench-479,1
advbench-480,480,advbench-480,1,advbench-480,1,advbench-480,1
advbench-481,481,advbench-481,1,advbench-481,1,advbench-481,1
advbench-482,482,advbench-482,1,advbench-482,1,advbench-482,1
advbench-483,483,advbench-483,1,advbench-483,1,advbench-483,1
advbench-484,484,advbench-484,1,advbench-484,1,advbench-484,1
advbench-485,485,advbench-485,1,advbench-485,1,advbench-485,1
advbench-486,486,advbench-486,1,advbench-486,1,advbench-486,1
advbench-487,487,advbench-487,1,advbench-487,1,advbench-487,1
advbench-488,488,advbench-488,1,advbench-488,1,advbench-488,1
advbench-489,489,advbench-489,1,advbench-489,1,advbench-489,1
advbench-490,490,advbench-283,0,advbench-283,0,advbench-283,0
advbench-491,491,advbench-491,1,advbench-491,1,advbench-491,1
advbench-492,492,advbench-492,1,advbench-492,1,advbench-492,1
advbench-493,493,advbench-493,1,advbench-493,1,advbench-493,1
advbench-494,494,advbench-494,1,advbench-494,1,advbench-494,1
advbench-495,495,advbench-495,1,advbench-495,1,advbench-495,1
advbench-496,496,advbench-384,0,advbench-496,1,advbench-496,1
advbench-497,497,advbench-497,1,advbench-497,1,advbench-497,1
advbench-498,498,advbench-498,1,advbench-498,1,advbench-498,1
advbench-499,499,advbench-499,1,advbench-499,1,advbench-499,1
advbench-500,500,advbench-500,1,advbench-500,1,advbench-500,1
advbench-501,501,advbench-501,1,advbench-501,1,advbench-501,1
advbench-502,502,advbench-502,1,advbench-502,1,advbench-502,1
advbench-503,503,advbench-503,1,advbench-503,1,advbench-503,1
advbench-504,504,advbench-504,1,advbench-504,1,advbench-504,1
advbench-505,505,advbench-505,1,advbench-505,1,advbench-505,1
advbench-506,506,advbench-506,1,advbench-506,1,advbench-506,1
advbench-507,507,advbench-317,0,advbench-507,1,advbench-507,1
advbench-508,508,advbench-508,1,advbench-508,1,advbench-508,1
advbench-509,509,advbench-509,1,advbench-509,1,advbench-509,1
advbench-510,510,advbench-510,1,advbench-510,1,advbench-510,1
advbench-511,511,advbench-511,1,advbench-511,1,advbench-511,1
advbench-512,512,advbench-512,1,advbench-512,1,advbench-512,1
advbench-513,513,advbench-513,1,advbench-513,1,advbench-513,1
advbench-514,514,advbench-514,1,advbench-514,1,advbench-514,1
advbench-515,515,advbench-515,1,advbench-515,1,advbench-515,1
advbench-516,516,advbench-516,1,advbench-516,1,advbench-516,1
advbench-517,517,advbench-517,1,advbench-517,1,advbench-517,1
advbench-518,518,advbench-518,1,advbench-518,1,advbench-518,1
advbench-519,519,advbench-217,0,advbench-217,0,advbench-217,0
